data,nome,dificuldade,tentativas_usadas,max_tentativas,numero_secreto,resultado,pontos
2026-06-01,Astronauta,FÁCIL,2,5,7,VITÓRIA,45
2026-06-01,Zara,FÁCIL,5,5,3,DERROTA,0
2026-06-02,Korvath,MÉDIO,3,8,23,VITÓRIA,50
2026-06-02,Lena,MÉDIO,8,8,41,DERROTA,0
2026-06-03,Rex,DIFÍCIL,2,10,77,VITÓRIA,80
2026-06-04,Orion,DIFÍCIL,10,10,55,DERROTA,0
2026-06-05,Nova,FÁCIL,1,5,14,VITÓRIA,50
2026-06-05,Cassidy,FÁCIL,5,5,9,DERROTA,0
2026-06-06,Draco,MÉDIO,4,8,31,VITÓRIA,45
2026-06-06,Lyra,MÉDIO,8,8,67,DERROTA,0
2026-06-07,Atlas,DIFÍCIL,3,10,88,VITÓRIA,75
2026-06-07,Cygnus,DIFÍCIL,10,10,12,DERROTA,0
2026-06-08,Orion,FÁCIL,3,5,16,VITÓRIA,40
2026-06-08,Vega,FÁCIL,5,5,8,DERROTA,0
2026-06-09,Sirius,MÉDIO,2,8,44,VITÓRIA,55
2026-06-09,Phoebe,MÉDIO,8,8,73,DERROTA,0
2026-06-10,Titan,DIFÍCIL,4,10,91,VITÓRIA,70
2026-06-10,Nebula,DIFÍCIL,10,10,36,DERROTA,0
