data,nome,pontuacao,tentativas,pontos
2026-06-01,Astronauta,80,10,90
2026-06-02,Zara,80,14,70
2026-06-02,Korvath,80,9,95
2026-06-03,Lena,80,18,50
2026-06-04,Rex,80,8,100
2026-06-05,Nova,80,11,85
2026-06-05,Cassidy,80,13,75
2026-06-06,Draco,80,7,105
2026-06-06,Lyra,80,16,60
2026-06-07,Atlas,80,20,40
2026-06-08,Orion,80,12,80
2026-06-09,Sirius,80,10,90
2026-06-09,Phoebe,80,15,65
2026-06-10,Titan,80,9,95
2026-06-10,Nebula,80,17,55
2026-06-11,Felix,80,11,85
2026-06-11,Mira,80,13,75
2026-06-12,Aurora,80,8,100
